Month,Region,Provider_Group,Service_Category,Members,ER_Visits_per_1000,Admissions_per_1000,Avg_Cost_per_Admission,Specialty_Rx_Spend_PMPM,Generic_Dispensing_Rate,Mail_Order_Rate,Imaging_Util_per_1000,SNF_Days_per_1000,Outpatient_Site_of_Care_Index,Leakage_Rate,PMPM,Expected_Driver,Scenario_Type
2024-01-01,West,Alpha IPA,Medical,8794,154.9,47.2,17782.17,73.12,0.833,0.191,87.1,21.0,0.991,0.074,574.41,utilization_increase,utilization_increase
2024-01-01,West,Alpha IPA,Pharmacy,8794,140.3,43.4,17640.25,97.09,0.792,0.216,90.6,21.0,0.998,0.067,202.48,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,West,Alpha IPA,Post-Acute,8794,139.4,41.5,17394.36,79.33,0.842,0.192,89.3,28.2,0.996,0.068,142.44,post_acute_spike,post_acute_spike
2024-01-01,West,Alpha IPA,Outpatient,8794,142.5,43.4,17465.82,75.9,0.836,0.193,90.2,21.5,1.18,0.071,226.13,site_of_care_shift,site_of_care_shift
2024-01-01,West,Beacon Medical Group,Medical,9737,144.9,44.5,20725.81,81.7,0.84,0.191,91.9,20.3,0.997,0.068,583.31,unit_cost_inflation,unit_cost_inflation
2024-01-01,West,Beacon Medical Group,Pharmacy,9737,142.9,45.3,17540.25,105.5,0.782,0.219,90.5,22.4,1.007,0.073,202.96,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,West,Beacon Medical Group,Post-Acute,9737,142.2,44.5,17742.61,76.81,0.834,0.186,91.5,21.9,1.007,0.118,139.96,leakage_network,leakage_network
2024-01-01,West,Beacon Medical Group,Outpatient,9737,146.5,43.1,17937.03,78.35,0.838,0.188,86.4,22.3,0.995,0.11,219.83,leakage_network,leakage_network
2024-01-01,West,Crest Health Partners,Medical,10199,171.8,49.4,17973.01,81.8,0.832,0.184,88.0,21.6,1.004,0.066,577.0,utilization_increase,utilization_increase
2024-01-01,West,Crest Health Partners,Pharmacy,10199,153.2,44.6,18321.25,101.97,0.789,0.216,91.0,23.4,0.983,0.072,202.26,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,West,Crest Health Partners,Post-Acute,10199,145.6,43.3,18121.64,80.68,0.841,0.19,96.8,27.3,0.99,0.071,144.0,post_acute_spike,post_acute_spike
2024-01-01,West,Crest Health Partners,Outpatient,10199,153.4,46.0,18207.06,85.66,0.834,0.187,89.2,22.2,1.18,0.073,223.74,site_of_care_shift,site_of_care_shift
2024-01-01,West,Delta Care Network,Medical,10898,146.1,45.3,21453.1,86.1,0.85,0.202,95.2,22.4,0.979,0.071,591.96,unit_cost_inflation,unit_cost_inflation
2024-01-01,West,Delta Care Network,Pharmacy,10898,150.3,45.8,18357.76,110.93,0.791,0.219,90.9,21.7,0.995,0.07,216.85,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,West,Delta Care Network,Post-Acute,10898,152.5,47.7,18250.21,81.04,0.835,0.187,100.4,22.6,1.008,0.116,144.06,leakage_network,leakage_network
2024-01-01,West,Delta Care Network,Outpatient,10898,153.5,46.3,18387.77,82.36,0.842,0.188,90.3,22.1,1.002,0.116,222.62,leakage_network,leakage_network
2024-01-01,South,Alpha IPA,Medical,9661,147.1,45.6,20898.35,79.97,0.846,0.192,96.6,22.4,0.988,0.07,604.47,unit_cost_inflation,unit_cost_inflation
2024-01-01,South,Alpha IPA,Pharmacy,9661,152.9,43.8,17835.04,108.36,0.784,0.216,93.9,21.8,1.0,0.074,208.4,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,South,Alpha IPA,Post-Acute,9661,151.6,44.1,18143.18,75.87,0.84,0.187,88.3,21.3,0.997,0.129,134.1,leakage_network,leakage_network
2024-01-01,South,Alpha IPA,Outpatient,9661,146.1,43.4,17851.7,83.51,0.843,0.195,91.5,21.5,0.998,0.116,223.85,leakage_network,leakage_network
2024-01-01,South,Beacon Medical Group,Medical,10597,166.1,50.2,18318.47,89.29,0.849,0.187,93.1,21.5,0.994,0.076,594.05,utilization_increase,utilization_increase
2024-01-01,South,Beacon Medical Group,Pharmacy,10597,147.1,44.7,17605.81,105.72,0.785,0.218,91.4,22.9,0.982,0.069,214.38,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,South,Beacon Medical Group,Post-Acute,10597,144.9,44.2,18801.07,90.26,0.834,0.189,95.0,30.2,0.99,0.074,152.46,post_acute_spike,post_acute_spike
2024-01-01,South,Beacon Medical Group,Outpatient,10597,151.7,45.0,18209.85,79.56,0.839,0.189,94.7,22.4,1.18,0.079,231.22,site_of_care_shift,site_of_care_shift
2024-01-01,South,Crest Health Partners,Medical,11164,154.2,47.0,21266.9,85.79,0.84,0.198,100.7,24.2,0.992,0.071,611.04,unit_cost_inflation,unit_cost_inflation
2024-01-01,South,Crest Health Partners,Pharmacy,11164,155.1,47.6,18026.62,111.77,0.792,0.216,94.6,24.1,1.001,0.074,208.88,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,South,Crest Health Partners,Post-Acute,11164,153.0,47.2,18991.45,78.58,0.839,0.191,96.9,23.4,0.982,0.126,149.59,leakage_network,leakage_network
2024-01-01,South,Crest Health Partners,Outpatient,11164,147.9,48.0,18451.44,84.85,0.835,0.189,99.9,24.4,1.017,0.12,233.33,leakage_network,leakage_network
2024-01-01,South,Delta Care Network,Medical,11509,188.1,53.9,19098.4,86.26,0.84,0.187,101.0,23.4,1.008,0.074,617.21,utilization_increase,utilization_increase
2024-01-01,South,Delta Care Network,Pharmacy,11509,161.0,50.7,19069.23,106.33,0.79,0.215,96.4,26.1,1.006,0.072,200.19,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,South,Delta Care Network,Post-Acute,11509,158.1,47.0,18648.66,87.78,0.846,0.192,91.1,30.4,1.001,0.077,155.92,post_acute_spike,post_acute_spike
2024-01-01,South,Delta Care Network,Outpatient,11509,149.7,47.8,19027.27,83.05,0.847,0.191,100.5,24.0,1.18,0.079,237.36,site_of_care_shift,site_of_care_shift
2024-01-01,Central,Alpha IPA,Medical,10759,174.5,49.5,18355.74,83.62,0.842,0.194,92.8,23.3,1.015,0.077,578.43,utilization_increase,utilization_increase
2024-01-01,Central,Alpha IPA,Pharmacy,10759,152.8,47.0,18403.43,111.77,0.794,0.223,97.7,25.7,0.998,0.072,216.64,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,Central,Alpha IPA,Post-Acute,10759,150.2,46.1,18792.87,79.99,0.834,0.184,93.6,29.1,1.005,0.081,143.18,post_acute_spike,post_acute_spike
2024-01-01,Central,Alpha IPA,Outpatient,10759,142.8,46.1,18258.47,85.15,0.844,0.191,98.3,23.6,1.18,0.077,233.18,site_of_care_shift,site_of_care_shift
2024-01-01,Central,Beacon Medical Group,Medical,11332,156.8,48.5,21554.98,87.3,0.839,0.19,100.5,22.2,0.987,0.074,596.83,unit_cost_inflation,unit_cost_inflation
2024-01-01,Central,Beacon Medical Group,Pharmacy,11332,153.3,48.4,18614.53,110.71,0.795,0.225,97.8,25.6,1.001,0.077,205.56,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,Central,Beacon Medical Group,Post-Acute,11332,150.1,46.4,18592.59,88.01,0.849,0.184,99.2,23.2,1.005,0.129,137.34,leakage_network,leakage_network
2024-01-01,Central,Beacon Medical Group,Outpatient,11332,159.7,46.8,18539.83,83.33,0.837,0.192,97.4,24.5,1.004,0.125,227.89,leakage_network,leakage_network
2024-01-01,Central,Crest Health Partners,Medical,11759,187.3,53.5,19334.38,88.96,0.839,0.191,105.9,27.1,1.001,0.081,617.37,utilization_increase,utilization_increase
2024-01-01,Central,Crest Health Partners,Pharmacy,11759,156.6,49.4,18992.24,113.64,0.786,0.214,93.8,23.9,0.995,0.079,220.2,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,Central,Crest Health Partners,Post-Acute,11759,164.4,47.8,19104.31,86.98,0.839,0.191,101.9,30.1,1.011,0.075,149.78,post_acute_spike,post_acute_spike
2024-01-01,Central,Crest Health Partners,Outpatient,11759,170.4,49.3,19429.96,88.23,0.843,0.19,99.5,24.2,1.18,0.077,238.06,site_of_care_shift,site_of_care_shift
2024-01-01,Central,Delta Care Network,Medical,12439,168.3,50.9,22288.39,91.13,0.838,0.194,96.5,25.5,0.98,0.074,639.84,unit_cost_inflation,unit_cost_inflation
2024-01-01,Central,Delta Care Network,Pharmacy,12439,167.6,49.6,18849.25,105.71,0.787,0.23,103.3,25.2,1.005,0.074,203.08,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,Central,Delta Care Network,Post-Acute,12439,164.4,50.4,19537.24,90.86,0.843,0.187,104.7,27.4,0.99,0.126,158.87,leakage_network,leakage_network
2024-01-01,Central,Delta Care Network,Outpatient,12439,163.2,52.2,19167.24,93.64,0.841,0.191,106.7,25.4,0.991,0.118,239.91,leakage_network,leakage_network
2024-01-01,East,Alpha IPA,Medical,11466,160.5,47.4,22265.44,81.01,0.836,0.183,97.5,24.8,0.998,0.084,613.2,unit_cost_inflation,unit_cost_inflation
2024-01-01,East,Alpha IPA,Pharmacy,11466,158.8,46.8,19062.05,113.48,0.792,0.222,100.9,26.6,0.999,0.084,207.37,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,East,Alpha IPA,Post-Acute,11466,153.9,46.5,18583.36,86.82,0.842,0.19,97.7,25.5,1.007,0.134,147.73,leakage_network,leakage_network
2024-01-01,East,Alpha IPA,Outpatient,11466,160.2,48.2,18415.56,86.83,0.841,0.186,100.6,23.1,1.013,0.13,231.61,leakage_network,leakage_network
2024-01-01,East,Beacon Medical Group,Medical,11866,186.3,51.3,18803.1,88.27,0.835,0.193,108.0,24.2,0.992,0.086,606.18,utilization_increase,utilization_increase
2024-01-01,East,Beacon Medical Group,Pharmacy,11866,157.1,49.8,19696.39,108.63,0.784,0.218,100.4,26.2,1.002,0.078,209.5,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,East,Beacon Medical Group,Post-Acute,11866,159.7,51.0,18961.72,87.41,0.843,0.193,103.3,28.9,1.005,0.081,148.37,post_acute_spike,post_acute_spike
2024-01-01,East,Beacon Medical Group,Outpatient,11866,156.3,50.0,18908.02,85.79,0.844,0.191,100.2,26.9,1.18,0.085,237.49,site_of_care_shift,site_of_care_shift
2024-01-01,East,Crest Health Partners,Medical,12481,167.9,50.4,22418.75,94.41,0.835,0.18,108.8,28.7,0.996,0.077,627.39,unit_cost_inflation,unit_cost_inflation
2024-01-01,East,Crest Health Partners,Pharmacy,12481,164.9,50.8,19115.98,118.33,0.793,0.214,106.1,28.3,1.002,0.084,214.29,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,East,Crest Health Partners,Post-Acute,12481,168.5,48.9,19499.32,90.02,0.849,0.189,109.0,25.1,1.006,0.136,146.08,leakage_network,leakage_network
2024-01-01,East,Crest Health Partners,Outpatient,12481,166.7,52.5,19352.86,86.77,0.84,0.186,103.0,26.1,0.983,0.119,236.44,leakage_network,leakage_network
2024-01-01,East,Delta Care Network,Medical,13289,191.4,54.4,19985.45,93.68,0.836,0.185,108.5,27.3,1.024,0.087,624.0,utilization_increase,utilization_increase
2024-01-01,East,Delta Care Network,Pharmacy,13289,169.3,53.5,19937.53,123.05,0.787,0.218,104.6,27.8,1.015,0.083,217.28,pharmacy_mix_shift,pharmacy_mix_shift
2024-01-01,East,Delta Care Network,Post-Acute,13289,171.3,52.2,20035.62,87.37,0.836,0.187,99.0,31.8,0.991,0.084,157.78,post_acute_spike,post_acute_spike
2024-01-01,East,Delta Care Network,Outpatient,13289,169.0,51.3,19732.91,95.62,0.835,0.186,107.7,26.8,1.18,0.085,246.83,site_of_care_shift,site_of_care_shift
2024-02-01,West,Alpha IPA,Medical,8957,140.0,41.7,19876.87,75.09,0.841,0.19,84.9,20.9,1.011,0.061,566.57,unit_cost_inflation,unit_cost_inflation
2024-02-01,West,Alpha IPA,Pharmacy,8957,136.3,43.8,17584.78,103.58,0.782,0.217,89.3,21.1,1.005,0.069,206.28,pharmacy_mix_shift,pharmacy_mix_shift
2024-02-01,West,Alpha IPA,Post-Acute,8957,140.6,42.9,17742.1,74.95,0.827,0.195,91.6,20.0,0.981,0.12,139.0,leakage_network,leakage_network
2024-02-01,West,Alpha IPA,Outpatient,8957,147.2,42.6,17388.48,76.77,0.838,0.19,85.0,23.0,1.018,0.115,215.22,leakage_network,leakage_network
2024-02-01,West,Beacon Medical Group,Medical,9782,168.1,48.7,17932.76,84.12,0.841,0.194,91.9,22.1,0.982,0.07,580.71,utilization_increase,utilization_increase
